display_name,riot_game_name,riot_tag_line,riot_puuid
ReginaldDwight,ReginaldDwight,ELTON,ibWEr7l8FWFUJw-iiGfMu6Nu2ZEu5iWhD20VUkNcBdUaPHslpmnI_NJea7SwIhBEbI74LmciJHoKRg
Sir Joey,Sir Joey,Valor,tqQVxJYbhVil17FqQHxxyUPQqD3Ca3dyifOpKU6q6JbiToPa_oQPbKesqki6lpNfQwzSONJbc9G_Iw
Feral Eevee,Feral Eevee,133,iL6dP9zJ-S7eSnbppc7ApkNpW3IERBDTRUZZOVZX_9uXktifzPz4f39QvW80m4eD6O_KpYkNWimUmg
Matrix,Matrix,NA101,g0x45hYMyzHX7AccRQNZa_oLaoPCoYenB5bLlqGvx6HSFjSMYU4T-42vue4JIX9IBiz7STLnakuwFg
Ah0p,Ah0p,HOP,gCCGKtUalfwICGhGLRI5GKN8r9aYuB2ucofJ5G12_So-kdVScGvZSWbNdyORy32MoHRLTzkstyQnuw
Canny,Canny,rip,Ct6lOs0Sl11QBXfXXYE0Ljpw8JuZe1qYmjS2HIzvqwbsN4G5AEy8Fu9KWGaxlbumuwaL0eibjqvlIw
Spies,Spies,6313,k1qK78o-26S93z064X30Kxsket6AqcpOeJeOggrrJ1PBgcdvTRnvcuo0MaExJH9Sv_G5JngQ9UZMqw
MetaShift,MetaShift,2281,vaS8Vg6SW4JAhaglrJ8b65Gfip6UUkLLI8kskwDBiKHPpzYDsPoHKIAthRrDlvyfcc2fL8-bhSZ3Ww
juanitosol,juanitosol,NA1,ZQvgMXIpatT6jOAiXpoK0Z8eeasPPbBvv0icuShmBQEPczKb9hqJSrl3sp-RieU3_auEYdBZ3gCSfQ
Little,Little,Pooki,6mouMkNDVACHR0c5ZfeJE4GPzsAKxJtfIwjsg0CSLPZ8dceV-wavV9_U-tRhcETtIKlvuiq3zchZYA
Lakuna,Lakuna,TAU3,qecGFXYzP0GsAnuP5wYV1xhEmeIPoKytO1ITpLUC27WhLeBvqDA7vakqB4supIBkqXaaIfK_RAKO5w
ChaoTiC,ChaoTiC,6255,dJ4EgL4GDBiGGT1gfqQyQFN93X9hua0nBEm4qypN3DS0e5lI1OyX7Xo2gmAT8psztabN9g4wwucGdg
Flyinq squirtle,Flyinq squirtle,NA1,TcIOsy0APuXHMGmVLb3jDXI5iXmQdDhtdNWtZFFQFTrJb33ynw7QnCr_kdVsse6FDTWF6a_htPzFRQ
Sunset Diner,Sunset Diner,NA1,wRDzeJfynWkMOZD536hv_No6-42qpd8xzS-5xsAr6O2S5IOvH5Z0q4PZu0aMy8R7xcEcNlmMymnXGQ
